sample_index,timestamp_sec,timestamp_hms,frame_index,grid_sat_median_3x3,grid_brightness_median_3x3,"overall_sat_median
전체영상에 대한","overall_sat_mean
전체영상에 대한","overall_brightness_median
전체영상에 대한","overall_brightness_mean
전체영상에 대한"
0,0,00:00.0,0,"26.0 | 26.0 | 40.0
28.0 | 54.0 | 29.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 144.0 | 130.0",33,40.584,99,98.542
1,1,00:01.0,8,"26.0 | 27.0 | 39.0
28.0 | 54.0 | 28.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 144.0 | 130.0",33,40.582,99,98.561
2,2,00:02.0,16,"26.0 | 26.0 | 40.0
28.0 | 54.0 | 29.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 52.0
91.0 | 135.0 | 105.0
112.0 | 144.0 | 130.0",33,40.566,99,98.559
3,3,00:03.0,24,"24.0 | 26.0 | 40.0
28.0 | 54.0 | 29.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 144.0 | 130.0",33,40.415,99,98.566
4,4,00:04.0,32,"24.0 | 26.0 | 40.0
28.0 | 53.0 | 28.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 144.0 | 130.0",33,40.469,99,98.589
5,5,00:05.0,40,"24.0 | 26.0 | 40.0
29.0 | 54.0 | 28.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 144.0 | 130.0",33,40.439,99,98.594
6,6,00:06.0,48,"24.0 | 26.0 | 40.0
28.0 | 53.0 | 29.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 144.0 | 130.0",33,40.466,99,98.591
7,7,00:07.0,56,"24.0 | 26.0 | 40.0
29.0 | 53.0 | 29.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 144.0 | 130.0",33,40.464,99,98.588
8,8,00:08.0,64,"24.0 | 27.0 | 40.0
29.0 | 54.0 | 28.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 144.0 | 130.0",33,40.481,100,98.751
9,9,00:09.0,72,"24.0 | 26.0 | 40.0
28.0 | 54.0 | 29.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 104.0
112.0 | 144.0 | 130.0",33,40.553,100,98.752
10,10,00:10.0,80,"24.0 | 26.0 | 40.0
28.0 | 54.0 | 29.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 144.0 | 130.0",33,40.539,100,98.766
11,11,00:11.0,88,"24.0 | 28.0 | 40.0
28.0 | 54.0 | 29.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 144.0 | 130.0",33,40.588,100,98.776
12,12,00:12.0,96,"24.0 | 27.0 | 40.0
29.0 | 54.0 | 29.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 104.0
112.0 | 144.0 | 130.0",33,40.543,100,98.803
13,13,00:13.0,104,"23.0 | 26.0 | 39.0
29.0 | 54.0 | 29.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 104.0
112.0 | 144.0 | 130.0",33,40.445,100,98.78
14,14,00:14.0,112,"24.0 | 26.0 | 40.0
28.0 | 54.0 | 28.0
18.0 | 40.0 | 42.0","37.0 | 53.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 144.0 | 130.0",33,40.441,100,98.789
15,15,00:15.0,120,"22.0 | 26.0 | 38.0
28.0 | 54.0 | 28.0
19.0 | 40.0 | 42.0","30.0 | 53.0 | 51.0
89.0 | 135.0 | 104.0
112.0 | 144.0 | 130.0",32,40.074,99,97.766
16,16,00:16.0,128,"22.0 | 27.0 | 38.0
29.0 | 54.0 | 28.0
19.0 | 40.0 | 42.0","30.0 | 54.0 | 51.0
90.0 | 135.0 | 104.0
112.0 | 143.0 | 129.0",32,39.943,100,97.86
17,17,00:17.0,136,"21.0 | 27.0 | 38.0
29.0 | 54.0 | 28.0
18.0 | 40.0 | 42.0","31.0 | 55.0 | 52.0
91.0 | 135.0 | 105.0
112.0 | 143.0 | 130.0",32,39.901,100,98.334
18,18,00:18.0,144,"22.0 | 25.0 | 37.0
28.0 | 54.0 | 28.0
19.0 | 40.0 | 42.0","32.0 | 55.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 143.0 | 130.0",32,39.759,100,98.639
19,19,00:19.0,152,"21.0 | 26.0 | 36.0
28.0 | 54.0 | 27.0
19.0 | 40.0 | 42.0","32.0 | 56.0 | 53.0
91.0 | 135.0 | 105.0
113.0 | 143.0 | 130.0",32,39.664,101,98.759
20,20,00:20.0,160,"21.0 | 25.0 | 37.0
28.0 | 54.0 | 27.0
19.0 | 40.0 | 42.0","32.0 | 56.0 | 53.0
91.0 | 135.0 | 105.0
113.0 | 143.0 | 130.0",32,39.71,101,98.798
21,21,00:21.0,168,"21.0 | 25.0 | 37.0
28.0 | 54.0 | 28.0
19.0 | 40.0 | 42.0","32.0 | 56.0 | 53.0
91.0 | 135.0 | 105.0
112.0 | 143.0 | 130.0",32,39.856,101,98.746
22,22,00:22.0,176,"40.0 | 54.0 | 85.0
57.0 | 51.0 | 39.0
45.0 | 46.0 | 39.0","9.0 | 28.0 | 19.0
23.0 | 18.0 | 15.0
30.0 | 13.0 | 10.0",49,51.448,16,24.605
23,23,00:23.0,184,"43.0 | 44.0 | 105.0
45.0 | 59.0 | 64.0
33.0 | 51.0 | 46.0","24.0 | 73.0 | 63.0
65.0 | 56.0 | 50.0
75.0 | 38.0 | 24.0",53,60.336,50,56.558
24,24,00:24.0,192,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","245.0 | 222.0 | 254.0
203.0 | 186.0 | 220.0
223.0 | 172.0 | 177.0",0,0,208,211.94
25,25,00:25.0,200,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","159.0 | 127.0 | 254.0
112.0 | 103.0 | 124.0
127.0 | 91.0 | 94.0",0,0,115,142.174
26,26,00:26.0,208,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","135.0 | 108.0 | 255.0
93.0 | 84.0 | 105.0
106.0 | 72.0 | 75.0",0,0,96,125.789
27,27,00:27.0,216,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","138.0 | 104.0 | 255.0
90.0 | 80.0 | 103.0
104.0 | 69.0 | 72.0",0,0,93,123.9
28,28,00:28.0,224,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","138.0 | 103.0 | 255.0
87.0 | 77.0 | 101.0
102.0 | 66.0 | 69.0",0,0,91,122.358
